Time,Time Code,Country Name,Country Code,"Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]",Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS],Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]",GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]","GNI, Atlas method (current US$) [NY.GNP.ATLS.CD]","GNI, PPP (current international $) [NY.GNP.MKTP.PP.CD]",Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],"Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]",Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],"Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]",Net barter terms of trade index (2000 = 100) [TT.PRI.MRCH.XD.WD],Net official development assistance and official aid received (current US$) [DT.ODA.ALLD.CD],"Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]",Population density (people per sq. km of land area) [EN.POP.DNST],Population growth (annual %) [SP.POP.GROW],"Population, total [SP.POP.TOTL]","Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]","Revenue, excluding grants (% of GDP) [GC.REV.XGRT.GD.ZS]","School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]","School enrollment, secondary (% gross) [SE.SEC.ENRR]",Surface area (sq. km) [AG.SRF.TOTL.K2],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS],Terrestrial and marine protected areas (% of total territorial area) [ER.PTD.TOTL.ZS],Time required to start a business (days) [IC.REG.DURS],Urban population growth (annual %) [SP.URB.GROW]
2016,YR2016,Argentina,ARG,62.939,37.48903746,12.52709517,2.288,3260164342,5.58E+11,-2.080327844,12220,19690,5.33E+11,8.58E+11,17.66322786,9.020165318,90,13.56679268,22.05410721,41.11937999,76.221,20.40459154,0.813140078,146.4538276,10.9,155.1966702,2619999.886,391579047.7,15.92813508,1.057181578,43590368,0.4,21.25670131,110.73918,1.02081,108.46233,2780400,12.09728364,7.528593349,24.5,1.192602919
2016,YR2016,Australia,AUS,11.8324,182.6502394,19.25105708,1.752,42980709072,1.21E+12,2.770656693,54140,46190,1.31E+12,1.12E+12,25.37197856,17.48002781,95,21.52658435,22.28487265,-0.533004697,82.44878049,32.15303525,2.092849524,109.4312952,3.8,147.9984555,0,2056844753,3.144935531,1.561940498,24190907,0.1,24.82119137,100.74441,0.92517,153.0132,7741220,22.11928122,28.59184172,2.5,1.677390128
2016,YR2016,Brazil,BRA,60.0994,111.1854148,12.4709021,1.747,74294617926,1.80E+12,-3.305358252,8930,15010,1.84E+12,3.09E+12,14.97461787,14.3371584,95,12.07110666,18.35280639,8.099900905,75.23,18.29318562,1.350150573,118.3855945,16.3,109.6413998,674630004.9,2739786527,24.66614079,0.823748232,206163058,0.5,28.89021422,113.94543,1.01698,101.53627,8515770,12.77294815,20.73728423,82.5,1.140373594
2016,YR2016,China,CHN,7.5834,216.2075348,19.75200486,1.675,1.75E+11,1.11E+13,6.736675253,8210,15450,1.13E+13,2.13E+13,44.47439578,30.2499368,99,17.4581934,40.07072122,1.07275629,76.21,33.09009677,1.924947124,96.52661691,9.9,92.32844467,-791429992.7,35225583770,146.8506776,0.541478512,1378665000,0,15.76370464,97.96192,1.01014,0,9562910,9.20099957,15.93928031,26.9,2.744069375
2016,YR2016,France,FRA,5.1112,154.8141132,30.24753718,1.93,32803666729,2.47E+12,1.095464395,38990,42940,2.61E+12,2.87E+12,22.60939274,28.07599018,90,30.8526052,17.43413205,0.522559352,82.52439024,43.25020131,2.327323645,104.4897355,4.1,90.6226599,0,24042348847,122.1055871,0.259600375,66721256,0.3,44.08586075,102.26043,1.0025,103.3081,549086.9922,23.20483732,26.08071835,3.5,0.587978903
2016,YR2016,Germany,DEU,8.0886,134.1870074,46.02319645,1.59,62625755007,3.47E+12,2.229999967,44290,50740,3.65E+12,4.18E+12,20.21371367,18.06400238,97,38.65996618,27.49666571,1.177006799,80.9902439,68.93068098,1.189904265,125.8854564,3.8,102.0921799,0,16043936960,235.7129294,0.807218539,82348669,0.1,28.23014582,102.67756,0.96373,98.812,357580,11.27337992,38.72689503,8,0.838301068
2016,YR2016,India,IND,16.152,74.50301764,19.19475337,2.266,44458571546,2.29E+12,8.169526505,1690,6560,2.24E+12,8.69E+12,30.21201677,7.645531085,88,20.96413555,26.64216803,3.124227441,68.897,27.30279613,2.506470751,85.14868348,41.1,108.1865157,2678889893,62744364090,445.4843414,1.08988008,1324509589,0,13.23066611,114.53832,1.09519,75.0918,3287259.063,11.08709284,3.479305985,28.5,2.317931183
2016,YR2016,Indonesia,IDN,47.9942,43.08746191,19.08899385,2.362,4541713739,9.32E+11,5.033069183,3400,11230,8.90E+11,2.94E+12,33.8587393,7.943640119,76,18.33234795,39.30844398,2.438924087,71.035,30.08936699,0.790694801,147.4150225,26.9,122.4780187,-108279998.8,8906655811,144.3798617,1.219765616,261554226,0.4,12.47382327,105.60988,0.9959,84.95212,1913580,10.3363487,5.063359019,26.3,2.479777584
2016,YR2016,Italy,ITA,5.3708,169.1923066,29.33129298,1.34,25656663795,1.88E+12,1.279671128,31940,39290,1.94E+12,2.38E+12,17.55775172,8.374087765,87,26.04273285,21.227713,1.136389325,83.24390244,46.30701191,1.339605986,141.6939815,3.3,105.5943785,0,9513962939,206.1178282,-0.169884073,60627498,0.3,38.18788515,99.42546,1.0027,101.66235,301340,23.43608871,13.34644424,11,0.246127222
2016,YR2016,Japan,JPN,3.9198,271.7315402,16.25276313,1.44,40954181469,4.93E+12,0.609093181,37880,42500,4.81E+12,5.40E+12,23.40740362,17.33983697,96,15.26260741,28.90521103,0.267580429,83.98487805,25.42290717,0.939582603,130.5952482,2.7,72.32854864,0,3830448522,348.350096,-0.115284177,126994511,0.1,12.2942112,0,0,0,377970,11.15496587,2.091836213,11.1,-0.032150224
